Rajzszám;Megnevezés;súly/darab (kg);darab/_beszállítói doboz;hossz (mm);szél (mm);mag (mm);F9;BETÁROLÁSI Láda Típusa;Betárolási QTY;KITÁROLÁSI Láda Típusa;KITÁROLÁSI QTY;Betároláskor Preferált AKL;;BETÁROLÁSI DARABSÚLY;besz. doboz darabszáma / paletta;Teljes darabszám a palettában;csomag/ beszállítói doboz;darabszám / csomag;;Zóna/Tálca;Program;BE CS/ KI CS;BE CS/ KI NCS;BE NCS / KI NCS;Alkatrész csomagolása a dobozban
VPBK2H-19D970-FA;Cylinder;;VS19;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
VPBK2H-3N603-AA;SDD szelep;;VS19;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
VPBK2H-67738-AA;Hosszúcsavar;;VS19;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
VPBK3H-19D970-DB;Fonthead tömítés;;VS19;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
VPC-19E864-AA;Csuklócsap;;VS;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
VPCEDH-19D970-FA;Fronthead tömítés;;VS;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
VPFV6H-19E820-AA;ECV Szelep;;;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
VRGK3-19D797-AA;Végtermék címke;;;;;;;;;;;AKL1;;;;;;;;;VS19;;;;
CP500MGG1A01;HV 14 DRAGON RH - IMPREGNÁLT;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
CP500B5WCB02;HV 14 FOX RH - IMPREGNÁLT;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
CP500B5WCC02;HV 14 2.0 RH - IMPREGNÁLT;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
CP500B2PAA01;HV14 C2 DV5Neo RH - IMPREGNÁLT;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
CP500B2PCD01;HV17 C2 DRAGON RH - IMPREGNÁLT;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
CP500B2PCE02;HV17 C2 DV5Neo RH - IMPREGNÁLT;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
CP500A8G1B02;HV17 UP375 RH - IMPREGNÁLT;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
01322901-01;HV 14 DRAGON FH - IMPREGNÁLT;;;;;;;VDA R-KLT 6429;16;VDA R-KLT 6429;16;AKL2;;;15;240;;;;;HV;;;;
CP500B5W4A01;HV 14 FOX FH - IMPREGNÁLT;;;;;;;VDA R-KLT 6429;16;VDA R-KLT 6429;16;AKL2;;;15;240;;;;;HV;;;;
01322995-01;HV 14 2.0 FH - IMPREGNÁLT;;;;;;;VDA R-KLT 6429;16;VDA R-KLT 6429;16;AKL2;;;15;240;;;;;HV;;;;
CP500B2PAB01;HV14 C2 DV5Neo FH - IMPREGNÁLT;;;;;;;VDA R-KLT 6429;16;VDA R-KLT 6429;16;AKL2;;;15;240;;;;;HV;;;;
CP500B2PCB01;HV17 C2 DRAGON FH - IMPREGNÁLT;;;;;;;VDA R-KLT 6429;16;VDA R-KLT 6429;16;AKL2;;;15;240;;;;;HV;;;;
CP500B2PCC01;HV17 C2 DV5Neo FH - IMPREGNÁLT;;;;;;;VDA R-KLT 6429;16;VDA R-KLT 6429;16;AKL2;;;15;240;;;;;HV;;;;
CP500A8G1A01;HV17 UP375 FH - IMPREGNÁLT;;;;;;;VDA R-KLT 6429;16;VDA R-KLT 6429;16;AKL2;;;15;240;;;;;HV;;;;
01322996-01;HV 14 CILINDER - IMPREGNÁLT;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
CP500B2PCA01;HV17 CILINDER - IMPREGNÁLT;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
JLR FH;jövőbeni termék 1;;;;;;;VDA R-KLT 6429;16;VDA R-KLT 6429;16;AKL2;;;15;240;;;;;HV;;;;
JLR RH;jövőbeni termék 2;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
JLR CYL;jövőbeni termék 3;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
HMG FH;jövőbeni termék 4;;;;;;;VDA R-KLT 6429;16;VDA R-KLT 6429;16;AKL2;;;15;240;;;;;HV;;;;
HMG RH;jövőbeni termék 5;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
HMG CYL;jövőbeni termék 6;;;;;;;VDA R-KLT 6422;16;VDA R-KLT 6422;16;AKL2;;;20;320;;;;;HV;;;;
